Soil_Type,Soil_pH,Soil_Moisture,Temperature,Humidity,Rainfall,Crop_Yield
Sandy,5.93,11.1,33.0,54.1,213.6,3.61
Clay,6.78,22.5,35.5,73.9,119.0,2.53
Clay,6.51,11.4,29.0,61.6,148.8,3.88
Sandy,6.93,10.8,33.6,54.6,186.6,3.38
Clay,7.17,15.4,32.5,68.0,210.1,2.67
Clay,6.99,24.3,25.9,65.2,164.7,2.74
Clay,7.19,24.8,31.1,70.4,133.8,4.35
Clay,5.63,13.0,27.0,74.9,218.0,2.78
Sandy,5.56,12.2,32.5,51.1,83.7,3.92
Loamy,6.02,15.3,31.7,68.5,196.5,4.07
Loamy,7.3,15.1,35.7,74.7,118.8,3.07
Clay,7.15,21.4,35.3,63.5,194.4,2.34
Loamy,6.87,16.7,25.1,67.9,102.7,2.49
Loamy,6.9,21.7,25.9,61.0,128.6,3.87
Clay,6.95,21.2,33.5,58.9,87.8,2.85
Clay,7.39,18.7,32.5,67.4,107.9,4.1
Loamy,7.16,22.5,33.8,74.7,164.4,2.86
Sandy,6.75,12.9,27.9,52.3,186.6,3.62
Clay,6.83,12.4,34.3,60.6,207.6,3.21
Sandy,5.93,21.3,29.9,73.5,96.8,3.51
Loamy,6.81,13.7,27.9,52.8,99.7,4.18
Clay,6.35,10.0,25.1,66.3,211.4,4.11
Sandy,5.81,23.7,34.6,60.8,187.2,2.25
Clay,7.11,19.3,30.9,59.4,155.6,4.16
Loamy,6.52,16.7,35.7,55.2,146.7,3.63
Sandy,7.45,20.9,32.9,54.4,102.1,3.79
Loamy,6.06,15.0,25.9,62.9,133.1,2.27
Loamy,6.46,24.3,31.5,59.4,132.2,2.47
Clay,6.4,11.0,25.2,62.3,170.8,3.31
Sandy,5.74,19.6,31.1,54.9,163.8,2.49
Loamy,6.35,21.7,28.9,58.8,88.4,3.9
Loamy,6.08,17.0,32.1,74.9,198.8,4.42
Sandy,5.82,21.3,31.0,59.2,211.3,2.39
Loamy,6.06,23.9,27.9,60.3,189.2,2.98
Loamy,5.97,21.2,26.8,50.5,105.0,3.59
Sandy,6.97,14.6,29.5,59.5,104.1,4.2
Sandy,5.56,18.4,35.9,69.1,181.7,4.35
Sandy,6.73,23.7,29.8,62.9,141.7,2.6
Sandy,7.02,16.7,33.2,66.4,189.0,3.24
Clay,6.46,20.2,25.6,63.9,90.6,3.71
Sandy,7.36,17.0,29.2,52.6,180.3,3.89
Clay,6.92,11.8,31.4,58.3,139.4,3.46
Clay,7.0,10.9,33.3,67.4,84.3,3.34
Clay,5.89,24.3,30.8,63.7,156.3,3.76
Loamy,7.05,19.2,30.7,66.9,177.9,3.01
Clay,7.16,11.6,33.4,59.0,154.0,3.06
Clay,6.22,22.9,28.4,54.8,97.2,3.55
Loamy,5.93,17.8,26.0,70.7,194.2,2.7
Loamy,6.27,21.6,28.8,59.4,124.4,3.48
Loamy,6.98,11.9,26.7,66.4,209.0,3.61
Sandy,6.34,23.6,35.6,59.5,207.0,3.33
Loamy,6.97,18.9,31.4,73.2,108.1,3.68
Loamy,5.73,21.1,29.9,74.8,146.7,3.79
Clay,7.11,10.5,35.0,66.2,99.2,2.27
Loamy,6.01,14.7,34.9,65.1,174.9,3.41
Sandy,6.0,14.0,29.6,71.0,199.3,4.04
Loamy,6.68,24.2,34.6,62.9,170.8,3.83
Sandy,5.64,12.8,25.7,71.7,116.5,3.78
Loamy,5.55,20.6,34.7,60.3,90.7,2.52
Loamy,6.02,10.6,28.4,50.8,89.7,2.84
Loamy,6.58,13.0,31.2,73.2,165.5,2.26
Loamy,7.32,15.1,28.0,68.0,213.5,4.08
Sandy,7.19,21.9,35.8,62.8,177.3,2.82
Sandy,6.48,21.8,25.8,73.6,182.3,2.75
Clay,5.57,24.3,29.9,72.2,126.1,3.07
Sandy,6.57,23.8,31.8,52.7,162.0,3.42
Loamy,6.91,11.2,31.8,65.6,124.3,3.51
Clay,6.18,22.4,33.1,63.5,206.2,4.04
Clay,5.72,16.8,33.0,69.4,98.6,3.83
Clay,6.06,23.0,33.7,57.5,168.5,3.1
Loamy,7.04,11.3,27.6,50.2,182.3,2.97
Sandy,6.2,22.3,29.1,54.6,177.8,3.21
Loamy,7.12,12.4,29.2,55.3,116.0,3.87
Clay,6.14,15.0,35.5,57.3,148.0,4.21
Loamy,5.83,10.4,29.5,59.3,172.9,4.56
Loamy,6.37,11.9,27.4,67.7,210.3,4.05
Sandy,6.4,16.7,32.0,51.9,150.0,4.0
Sandy,5.53,22.3,29.7,62.2,122.1,3.91
Clay,5.73,21.6,27.8,62.5,134.1,3.5
Loamy,5.87,13.5,32.9,65.4,155.8,3.39
Loamy,5.73,12.3,27.1,57.8,216.7,4.29
Sandy,6.18,15.8,32.0,56.5,168.0,3.3
Loamy,7.43,23.2,29.7,62.1,101.7,4.07
Loamy,6.52,11.4,28.5,66.5,198.0,3.19
Loamy,6.76,18.1,35.4,51.1,105.4,3.11
Sandy,6.21,11.3,28.6,57.3,85.4,3.81
Clay,6.15,17.1,28.8,69.7,94.0,4.06
Clay,5.55,11.9,34.6,62.1,190.1,3.09
Loamy,6.5,11.2,26.4,73.8,206.3,2.7
Clay,6.47,12.9,26.2,71.7,117.5,2.77
Sandy,5.82,13.8,28.1,58.6,149.7,3.12
Sandy,7.03,14.1,31.5,68.2,163.6,3.54
Clay,6.49,19.7,29.2,56.9,138.6,2.88
Clay,6.18,10.8,31.7,54.4,89.1,3.59
Loamy,5.79,11.2,26.8,72.0,87.9,3.33
Clay,6.6,12.8,27.9,58.8,141.6,4.1
Loamy,7.01,23.1,31.2,55.1,191.7,4.37
Loamy,6.06,19.4,27.4,74.1,91.8,2.18
Sandy,5.94,21.0,29.7,50.8,108.8,3.83
Sandy,6.54,15.6,31.3,59.2,117.8,2.76
Sandy,5.81,13.2,35.7,51.0,158.3,2.26
Sandy,6.83,10.6,25.9,62.6,86.0,2.36
Clay,6.71,17.3,30.1,60.0,200.4,3.16
Sandy,5.67,18.6,29.4,68.0,145.9,3.34
Clay,5.57,23.5,34.1,73.9,147.9,3.8
Sandy,6.74,23.2,34.9,63.0,125.7,3.12
Clay,6.09,16.4,35.0,57.1,109.7,4.69
Loamy,5.67,16.4,29.1,71.8,130.9,3.33
Clay,7.02,12.4,28.4,65.1,207.9,4.18
Clay,6.13,13.9,29.9,63.8,93.2,3.15
Sandy,6.42,23.9,28.8,54.7,88.5,3.85
Clay,5.97,12.1,32.9,51.0,96.0,3.48
Loamy,6.75,24.5,27.3,61.5,188.8,3.31
Loamy,6.1,17.6,32.2,63.2,86.8,2.86
Sandy,7.44,16.8,35.2,53.2,126.6,2.69
Loamy,6.91,12.6,28.1,51.5,139.5,2.4
Clay,5.77,19.9,32.4,55.4,151.0,3.44
Loamy,6.33,16.9,26.6,51.6,80.4,3.81
Sandy,6.27,15.6,26.3,51.4,148.1,2.95
Clay,6.57,14.0,26.3,61.1,107.3,2.92
Sandy,7.18,11.0,26.5,70.3,93.7,3.02
Clay,6.67,17.8,27.4,66.6,154.7,3.25
Loamy,5.62,14.7,31.2,67.0,184.2,3.74
Sandy,6.81,20.6,33.4,56.6,210.9,2.85
Sandy,5.52,20.9,26.4,50.3,207.8,4.11
Clay,7.06,15.0,34.6,61.3,135.9,3.37
Sandy,6.83,20.0,34.3,59.4,178.6,3.95
Clay,6.12,13.9,33.0,73.7,177.4,3.5
Clay,6.08,20.9,29.7,51.8,137.7,2.93
Clay,7.1,10.2,25.0,69.4,93.7,2.43
Clay,7.07,12.3,33.1,59.6,133.5,3.01
Loamy,6.2,13.7,34.7,70.7,218.9,3.79
Clay,6.1,21.6,28.7,62.4,157.7,4.19
Sandy,6.62,11.0,32.9,70.5,127.8,3.15
Loamy,5.52,12.8,25.7,61.7,184.1,3.33
Sandy,5.67,15.4,32.8,60.0,176.1,2.8
Loamy,5.75,10.1,25.8,74.1,161.0,3.69
Clay,5.87,21.4,31.5,59.2,169.2,4.58
Loamy,6.52,18.4,31.6,70.1,161.9,3.54
Loamy,7.48,23.5,28.3,51.7,213.9,3.14
Sandy,6.81,10.5,25.9,51.6,151.3,4.49
Sandy,5.62,14.1,35.4,61.0,162.6,2.66
Clay,6.55,21.0,30.9,64.6,146.0,4.24
Loamy,6.49,20.1,31.4,65.2,164.0,2.64
Loamy,5.79,13.6,31.8,50.9,204.7,3.13
Loamy,7.34,18.9,34.8,67.4,127.6,4.04
Clay,6.38,21.9,25.7,53.2,149.4,3.25
Clay,7.49,10.5,34.8,73.9,142.8,3.78
Clay,6.34,20.8,27.6,58.3,135.7,3.67
Clay,6.72,13.8,25.9,56.5,194.9,4.93
Clay,5.71,24.2,32.2,57.3,112.5,2.43
Sandy,6.41,18.1,35.7,73.4,150.0,4.14
Loamy,5.98,10.5,25.6,62.1,209.4,3.75
Loamy,7.17,16.1,29.7,60.9,102.6,2.64
Loamy,7.07,24.5,30.8,64.1,80.7,3.83
Loamy,7.15,21.0,27.8,73.3,117.1,2.94
Loamy,6.95,14.5,35.8,57.7,209.1,3.14
Loamy,7.17,18.6,32.1,54.5,92.3,3.89
Loamy,5.9,19.0,34.3,64.9,99.2,2.65
Loamy,6.4,10.4,29.6,62.3,124.8,2.69
Sandy,6.88,12.7,28.9,51.5,187.8,3.5
Loamy,6.77,18.3,31.1,63.0,185.2,3.73
Sandy,6.93,16.0,29.8,64.1,92.2,3.1
Clay,5.95,12.9,32.9,67.4,210.7,3.81
Loamy,5.7,21.6,27.9,74.9,113.4,2.57
Clay,7.33,17.3,29.9,60.5,119.3,2.78
Clay,6.62,14.6,34.8,62.8,134.1,4.25
Clay,5.81,12.4,33.3,51.9,168.8,3.12
Sandy,7.09,19.2,26.8,70.8,153.0,4.07
Clay,7.33,20.0,34.8,52.5,210.0,2.9
Clay,5.84,20.0,31.5,73.3,159.0,2.99
Clay,7.13,13.3,32.5,58.7,200.0,3.41
Loamy,7.37,18.9,28.2,58.4,90.9,2.54
Loamy,7.38,23.6,29.9,58.2,199.8,3.35
Sandy,7.33,15.3,33.9,73.8,107.7,3.91
Sandy,6.59,13.2,28.6,74.5,130.8,2.66
Loamy,6.21,21.6,26.8,74.3,124.8,3.5
Sandy,5.51,12.7,29.2,67.6,127.2,3.14
Loamy,5.62,13.8,25.8,52.8,208.6,3.49
Clay,6.36,11.5,32.9,59.7,141.8,3.35
Clay,6.3,14.0,26.6,57.2,117.5,3.6
Sandy,5.87,16.2,28.1,67.7,121.2,4.27
Loamy,6.29,11.0,34.7,62.3,192.5,4.06
Loamy,5.85,23.1,30.9,65.4,155.5,2.72
Sandy,7.2,17.7,28.5,50.2,142.9,3.69
Loamy,6.1,18.8,31.0,69.6,209.8,2.86
Clay,6.7,15.6,27.4,73.8,210.2,3.76
Sandy,6.51,20.0,25.3,66.7,185.9,3.24
Sandy,5.6,16.5,31.6,71.3,152.5,2.96
Loamy,7.38,21.4,32.9,62.0,96.3,3.88
Sandy,6.55,22.3,34.7,50.5,179.1,3.64
Loamy,6.15,20.1,33.5,74.8,194.1,3.13
Loamy,5.82,17.4,35.2,51.5,199.3,2.99
Loamy,6.18,21.7,35.8,54.8,161.5,2.36
Loamy,5.54,17.4,33.2,51.3,166.4,3.78
Loamy,6.23,11.7,34.5,65.6,179.3,2.8
Sandy,6.56,11.7,32.4,64.6,202.4,2.91
Clay,7.24,24.2,26.9,55.2,86.4,2.57
Clay,6.87,13.2,27.0,73.9,158.9,2.76
Sandy,5.72,22.2,26.2,72.8,131.7,3.82
Sandy,5.8,13.7,35.4,57.0,196.6,4.58
Clay,6.36,16.5,32.4,66.5,98.7,3.14
Clay,5.89,19.8,33.7,71.4,207.4,4.6
Clay,5.56,12.4,28.6,59.0,97.4,3.55
Clay,7.11,21.1,30.1,56.3,92.5,4.23
Clay,5.54,20.3,25.4,56.4,128.5,3.99
Loamy,7.16,18.1,34.8,70.5,219.3,2.72
Sandy,5.79,18.5,34.4,61.6,168.7,2.46
Loamy,7.45,11.6,33.6,67.9,83.7,2.18
Clay,6.71,16.5,25.6,66.3,114.9,2.89
Clay,6.97,11.3,26.9,57.7,100.9,4.16
Clay,5.72,14.6,28.7,55.2,80.1,3.68
Loamy,7.22,23.5,27.9,53.1,152.1,3.77
Loamy,7.18,18.6,34.2,50.6,133.4,3.38
Clay,6.81,21.1,27.1,52.0,165.9,3.63
Loamy,6.5,18.6,30.9,56.4,110.3,2.51
Loamy,6.94,12.9,31.3,67.8,196.3,3.63
Clay,5.51,18.9,29.7,53.9,133.6,3.77
Loamy,6.68,21.3,27.6,63.1,147.6,2.74
Sandy,7.19,12.1,35.6,56.1,182.5,4.16
Sandy,6.21,22.3,29.5,62.8,103.3,3.91
Sandy,5.72,18.3,33.0,68.8,116.7,3.53
Sandy,6.34,10.1,27.0,56.6,101.7,2.27
Clay,6.95,17.8,34.1,58.7,187.5,3.91
Clay,5.71,15.9,27.4,68.1,93.7,3.28
Clay,5.91,14.4,32.4,63.7,148.5,3.9
Sandy,5.8,21.6,30.6,52.4,185.0,2.57
Sandy,7.09,23.5,26.6,69.0,151.1,3.48
Loamy,5.63,21.4,25.3,56.9,151.2,3.2
Loamy,6.87,22.7,35.2,59.6,88.9,3.7
Sandy,6.23,23.6,26.4,56.1,189.6,3.52
Sandy,7.01,23.7,32.8,63.6,164.6,2.32
Sandy,7.43,11.7,32.2,67.7,173.5,4.0
Sandy,5.73,16.8,28.8,70.1,187.2,4.05
Loamy,6.13,10.0,27.0,73.1,158.5,2.76
Sandy,7.12,17.6,27.0,59.0,151.2,2.47
Loamy,6.03,23.9,31.4,73.3,172.8,3.25
Sandy,5.93,13.0,31.0,65.4,206.0,2.45
Sandy,7.15,19.6,34.6,59.7,169.4,2.83
Sandy,7.47,19.7,32.0,72.2,190.4,3.15
Loamy,6.61,12.4,34.0,64.5,147.2,2.81
Loamy,6.06,13.6,25.4,61.4,162.5,4.25
Clay,6.3,16.9,32.4,50.3,105.2,3.86
Sandy,5.84,12.8,27.6,67.9,148.4,3.82
Clay,7.02,18.8,27.8,51.9,100.8,3.26
Clay,7.05,17.3,32.9,57.2,145.4,4.1
Loamy,7.25,17.8,33.7,74.0,89.1,3.33
Loamy,5.55,12.0,29.1,53.9,160.7,3.2
Clay,6.62,17.8,33.7,57.8,120.1,3.24
Sandy,5.93,10.7,29.9,73.3,197.8,2.89
Loamy,6.18,23.2,34.4,58.4,132.7,2.37
Sandy,7.07,15.1,25.3,58.2,208.5,3.56
Sandy,5.88,22.8,25.9,66.2,146.2,4.31
Clay,6.78,20.5,33.5,53.3,198.8,4.34
Clay,6.81,21.5,31.9,74.3,121.6,3.69
Clay,7.41,14.7,31.1,56.9,143.2,3.53
Clay,7.05,13.4,31.8,69.6,168.7,3.03
Loamy,7.11,16.1,35.2,57.2,116.2,2.47
Loamy,6.56,10.4,32.2,56.9,172.0,3.11
Clay,5.87,23.8,32.1,51.4,120.4,3.79
Loamy,6.35,15.8,33.4,53.0,147.8,3.33
Clay,6.6,24.8,34.5,63.0,83.3,3.26
Sandy,6.86,21.4,27.9,64.4,90.9,3.55
Sandy,6.72,11.2,31.8,70.4,111.8,3.42
Sandy,6.29,19.9,31.4,51.5,192.9,4.28
Clay,6.03,14.1,26.5,58.9,172.5,3.92
Sandy,5.84,13.7,30.7,55.0,205.1,3.46
Loamy,6.89,13.8,25.8,58.9,206.7,2.75
Sandy,6.79,23.7,27.0,58.9,132.5,3.28
Sandy,6.87,17.5,35.0,58.9,131.5,2.95
Sandy,6.25,20.0,26.3,57.7,197.0,2.38
Loamy,6.02,14.2,31.4,69.1,139.7,2.44
Clay,7.02,17.8,28.6,67.2,200.0,3.22
Loamy,7.05,15.3,31.1,58.5,150.8,4.22
Clay,6.41,14.8,27.6,53.7,139.5,3.25
Clay,6.72,13.7,29.9,63.0,119.1,3.88
Sandy,6.25,16.1,34.5,73.0,97.7,2.84
Clay,6.9,19.9,29.1,53.1,153.6,3.13
Loamy,7.17,13.3,28.9,68.8,125.5,2.28
Loamy,6.88,24.5,29.9,65.0,114.9,2.75
Clay,6.53,11.9,26.1,64.7,103.8,4.01
Sandy,6.42,17.2,29.3,73.4,134.4,3.3
Sandy,6.78,11.3,25.1,73.9,157.8,2.64
Loamy,6.86,10.3,30.5,56.1,197.2,3.75
Sandy,6.62,23.8,34.3,70.2,194.8,3.82
Clay,6.75,22.2,31.1,65.5,199.7,3.7
Clay,5.69,20.4,31.7,60.2,160.7,2.34
Loamy,7.4,23.0,25.3,66.6,158.3,3.61
Clay,7.08,22.0,34.5,73.9,206.7,3.73
Loamy,6.25,19.7,29.2,62.9,120.4,3.82
Clay,6.63,22.7,35.7,73.5,100.4,3.38
Loamy,5.59,15.9,26.3,66.1,91.6,4.13
Sandy,5.58,18.3,35.4,62.1,203.3,4.17
Clay,6.0,21.6,32.0,66.1,132.0,3.57
Clay,6.88,11.3,25.6,65.1,149.8,3.75
Loamy,7.2,22.9,35.7,60.5,192.4,3.35
Loamy,6.62,12.4,25.2,64.1,132.2,3.7
Clay,6.56,23.0,33.0,67.6,201.5,4.72
Loamy,6.3,14.7,34.8,71.0,125.0,3.77
Clay,5.82,14.9,26.9,57.6,182.5,3.05
Sandy,5.74,11.1,28.8,50.4,173.4,2.67
Loamy,7.02,23.3,31.2,63.8,108.2,3.87
Clay,7.36,12.6,32.5,62.2,97.4,3.17
Sandy,6.42,19.5,34.6,51.4,95.6,3.96
Sandy,6.82,19.7,33.4,65.8,171.1,2.83
Clay,7.33,14.2,29.0,73.5,81.8,4.43
Loamy,5.68,24.8,34.0,60.1,172.5,4.33
Clay,7.04,11.0,35.6,72.4,189.5,4.25
Sandy,6.73,19.1,27.5,70.3,122.4,2.37
Clay,6.7,17.2,25.8,54.0,184.4,3.85
Loamy,6.09,13.7,29.7,69.7,103.2,3.31
Sandy,6.87,12.5,34.7,62.9,214.5,2.83
Clay,7.09,21.1,26.7,73.0,112.5,4.2
Loamy,5.73,23.7,34.7,54.7,148.4,2.74
Sandy,6.57,11.6,35.9,53.1,217.3,2.78
Loamy,5.7,12.9,25.6,56.0,207.0,4.07
Sandy,7.25,24.8,30.4,51.5,172.3,3.53
Clay,6.52,10.2,28.6,58.0,131.7,4.71
Loamy,7.12,17.6,29.3,57.1,178.0,2.98
Sandy,6.24,17.7,30.0,60.4,144.4,2.91
Loamy,5.75,13.9,33.1,61.6,95.2,4.55
Loamy,5.58,19.9,31.5,53.6,191.4,2.93
Clay,6.06,24.2,35.6,65.5,202.0,3.08
Loamy,5.99,16.8,28.7,55.6,137.1,4.33
Sandy,6.62,21.2,31.0,53.0,173.2,3.49
Sandy,5.54,19.7,33.9,67.7,84.3,2.82
Sandy,6.54,17.1,29.1,50.6,107.6,3.99
Sandy,6.28,10.7,30.1,59.2,159.8,4.64
Clay,6.65,21.1,32.5,53.6,118.4,4.15
Loamy,6.9,15.4,34.5,72.1,212.2,2.98
Clay,6.77,13.4,29.6,70.6,197.2,3.1
Loamy,7.47,24.2,30.9,51.5,171.7,3.64
Loamy,5.78,21.6,35.7,63.8,219.8,2.8
Loamy,6.36,24.4,25.5,57.4,114.1,3.36
Clay,6.35,13.8,29.9,54.8,208.7,3.54
Loamy,6.33,22.5,32.0,57.8,122.6,2.34
Clay,6.83,19.1,25.1,70.4,163.5,3.7
Sandy,6.48,24.7,31.6,51.4,140.8,4.13
Sandy,6.53,24.2,25.6,66.2,142.1,3.42
Loamy,6.36,24.6,34.4,72.8,186.8,2.88
Clay,7.48,24.3,33.9,61.2,128.7,3.71
Sandy,7.36,10.1,25.4,72.5,151.1,2.73
Clay,6.12,21.1,25.5,72.7,109.6,3.72
Clay,5.72,14.1,33.3,65.2,186.9,3.35
Loamy,7.18,20.6,29.1,61.4,157.3,2.75
Sandy,7.49,24.7,31.3,68.4,115.7,4.43
Loamy,6.09,10.6,28.0,72.9,117.2,3.14
Loamy,6.22,18.5,26.9,67.0,121.1,3.91
Sandy,7.38,21.0,28.3,55.2,177.9,4.33
Sandy,6.92,13.8,27.7,70.5,163.3,2.22
Clay,6.09,13.4,29.9,73.8,195.1,3.67
Sandy,6.66,10.9,33.2,60.3,160.0,3.3
Clay,7.39,11.4,31.1,67.4,122.9,3.69
Clay,7.12,19.9,31.7,63.0,214.8,2.92
Clay,6.98,17.6,30.2,52.8,204.1,2.56
Sandy,6.97,10.5,28.6,58.7,119.0,2.84
Loamy,5.86,24.5,26.6,54.1,207.8,3.25
Clay,7.15,19.8,28.9,66.8,180.8,3.1
Loamy,6.05,17.7,32.3,64.6,138.1,4.2
Loamy,7.36,14.1,33.1,50.8,145.4,3.52
Sandy,6.23,19.9,30.2,51.5,142.5,2.19
Loamy,7.22,15.5,32.1,56.5,191.6,4.48
Loamy,6.03,20.5,27.3,68.6,104.6,3.32
Sandy,6.53,20.2,34.5,53.2,88.2,3.46
Clay,5.71,11.4,34.5,55.1,149.8,3.74
Loamy,6.82,23.6,28.5,72.7,120.7,3.96
Sandy,7.17,17.3,31.0,63.7,158.9,3.68
Loamy,6.94,15.9,31.7,65.5,216.9,3.59
Loamy,6.55,24.3,30.2,61.4,174.0,3.98
Clay,5.59,16.6,35.0,57.5,214.3,3.25
Loamy,7.37,20.8,33.1,56.2,182.5,3.14
Sandy,6.91,19.8,32.4,64.7,90.6,4.52
Loamy,6.99,12.5,30.7,61.8,204.5,3.05
Clay,7.09,24.9,25.9,60.1,107.8,3.64
Clay,7.0,17.0,26.2,67.4,201.1,3.7
Sandy,6.38,15.9,28.3,60.1,184.9,2.22
Clay,6.97,23.8,27.3,50.9,197.4,4.38
Loamy,6.75,17.9,35.5,71.0,115.5,2.77
Clay,7.21,20.6,29.5,58.0,193.0,3.81
Sandy,7.1,22.7,34.6,73.7,165.4,3.7
Clay,5.58,13.5,34.0,72.0,91.5,3.07
Clay,6.26,12.5,33.9,55.8,204.5,2.84
Clay,5.57,11.0,27.4,74.1,202.8,2.69
Sandy,5.7,23.5,29.9,71.3,160.1,4.03
Clay,6.7,13.0,28.5,74.6,143.4,3.34
Clay,7.25,14.6,35.7,66.9,136.1,3.54
Loamy,5.74,14.3,34.6,73.3,164.4,3.84
Sandy,6.4,14.6,27.7,67.3,197.8,2.82
Clay,7.32,20.0,28.4,71.4,159.2,4.62
Sandy,7.13,24.3,30.8,65.3,98.2,4.34
Clay,6.54,14.9,28.1,73.2,122.9,4.16
Clay,7.04,16.1,34.1,63.0,173.6,4.5
Clay,6.55,21.6,34.0,68.4,170.6,3.38
Loamy,5.82,16.5,33.0,72.9,152.6,3.0
Loamy,5.75,23.9,32.6,60.6,113.7,3.16
Loamy,5.88,17.5,31.0,50.7,117.9,4.36
Sandy,6.2,15.2,28.8,52.8,147.8,4.32
Sandy,7.36,24.6,34.2,74.3,135.2,3.18
Loamy,7.1,16.4,34.4,71.8,124.2,3.31
Sandy,6.37,13.5,25.5,62.1,196.1,4.02
Clay,6.49,12.7,29.4,74.0,150.6,3.68
Clay,6.03,24.9,25.3,54.6,150.4,3.83
Clay,6.91,21.3,34.2,52.8,139.9,3.96
Loamy,7.11,16.1,26.9,65.0,175.3,3.41
Sandy,5.98,22.4,32.4,59.6,104.6,3.74
Loamy,5.58,18.2,28.9,58.5,212.1,2.45
Sandy,6.75,14.8,34.0,68.4,94.6,2.18
Clay,6.63,21.2,30.6,53.8,179.4,2.92
Loamy,6.3,21.2,28.6,69.5,178.6,2.36
Sandy,6.79,17.5,28.6,59.0,96.0,2.95
Sandy,6.6,10.7,28.6,74.7,219.0,3.05
Clay,6.0,11.2,33.7,70.2,84.8,2.84
Loamy,6.3,21.8,32.8,66.2,131.1,2.66
Loamy,6.36,22.4,28.5,55.7,139.5,3.8
Loamy,7.26,20.2,30.4,73.9,192.4,3.62
Clay,7.42,22.6,25.8,50.8,84.2,1.99
Loamy,7.29,20.8,34.1,55.6,158.0,3.21
Clay,6.94,23.5,27.9,50.9,108.6,2.63
Clay,6.67,12.3,34.8,74.2,160.2,3.67
Clay,6.88,15.8,31.6,71.8,170.5,2.8
Sandy,7.38,17.0,31.2,73.8,84.8,2.71
Loamy,6.0,14.5,26.8,67.9,89.4,2.83
Loamy,6.57,20.9,25.8,50.7,91.9,3.4
Clay,6.88,23.7,31.1,73.3,199.3,3.51
Clay,6.86,16.2,30.1,60.5,209.7,3.22
Loamy,6.0,24.1,26.3,59.2,141.3,3.63
Clay,6.67,17.8,34.2,57.1,202.5,4.85
Loamy,7.09,17.8,29.6,57.2,146.7,2.7
Sandy,6.45,19.0,27.9,70.0,136.2,3.5
Clay,7.09,14.0,33.7,56.4,154.4,3.14
Loamy,6.22,15.8,35.0,55.6,190.6,2.45
Clay,7.38,18.3,28.4,67.5,111.3,3.04
Loamy,6.57,24.1,33.5,57.2,122.2,2.77
Loamy,6.69,19.6,32.2,50.3,198.8,3.26
Clay,5.56,15.0,35.9,73.3,208.2,4.12
Sandy,5.84,10.2,27.2,57.8,97.2,3.85
Loamy,6.77,24.7,35.6,69.1,178.7,2.72
Loamy,6.34,17.4,28.5,61.7,81.3,3.14
Loamy,6.52,24.1,29.5,53.4,114.5,3.66
Sandy,5.63,18.2,28.9,66.5,89.6,4.07
Sandy,7.17,19.1,28.0,55.8,152.2,3.45
Clay,7.07,20.7,32.6,57.2,128.1,3.99
Sandy,5.87,14.8,31.5,50.8,99.3,3.59
Clay,6.77,20.5,28.4,50.4,80.0,3.12
Clay,7.14,17.9,26.5,62.8,134.4,3.96
Sandy,6.78,20.1,28.5,51.4,121.2,4.14
Clay,6.12,22.5,29.2,55.2,86.5,3.3
Sandy,6.81,12.8,29.2,73.1,199.2,4.51
Clay,5.92,19.2,28.9,52.1,137.5,3.89
Sandy,6.14,10.8,25.5,57.3,188.5,4.42
Sandy,5.98,11.5,30.1,68.2,139.1,2.74
Clay,6.61,20.1,34.2,72.1,89.5,3.16
Loamy,5.72,11.1,27.0,51.2,135.2,3.51
Clay,7.37,18.9,26.6,54.6,204.1,3.8
Sandy,6.17,13.3,30.2,59.7,81.1,3.11
Loamy,5.94,14.6,29.1,59.0,205.3,3.57
Clay,6.49,11.9,31.2,57.2,171.9,4.15
Clay,6.05,13.7,35.4,56.1,219.4,3.02
Clay,6.57,22.3,33.4,56.7,208.3,3.67
Loamy,6.2,19.6,32.6,53.3,201.7,2.77
Sandy,5.76,24.2,29.6,54.1,85.3,4.31
Clay,6.03,10.7,28.2,65.2,119.2,3.02
Clay,6.38,21.9,30.9,57.3,132.5,2.75
Clay,5.56,20.5,34.7,60.0,178.0,3.67
Clay,7.04,13.9,34.6,60.3,170.8,2.88
Clay,6.74,20.9,29.9,52.7,104.0,3.65
Sandy,6.7,20.7,27.7,70.5,183.2,3.02
Sandy,6.59,16.9,27.5,73.9,101.8,3.16
Clay,6.68,20.3,25.4,56.6,143.9,3.76
Loamy,7.37,16.7,34.3,57.4,161.0,3.18
Sandy,5.52,15.0,27.9,67.3,201.9,2.29
Loamy,5.6,17.0,28.9,52.0,168.4,3.75
Sandy,5.88,23.4,33.9,72.7,213.7,3.36
Clay,5.83,15.8,26.3,53.0,219.2,3.99
Sandy,5.86,16.1,30.1,68.3,151.2,3.47
Clay,6.84,19.1,26.3,57.3,87.2,3.38
Sandy,6.42,21.3,29.9,58.1,84.0,4.6
Clay,7.48,21.0,25.5,53.5,199.8,3.5
Clay,5.95,10.3,30.7,66.2,150.0,3.23
Clay,6.12,20.3,33.8,69.9,131.4,2.51
Clay,7.47,16.8,32.4,73.8,119.8,3.27
Loamy,7.16,17.9,30.6,58.3,119.5,3.61
Clay,6.44,18.4,34.1,65.5,90.2,3.46
Loamy,6.61,21.0,27.5,60.4,122.4,3.61
Loamy,7.19,22.5,34.1,63.9,170.3,4.55
Clay,6.46,19.7,28.0,54.1,133.9,4.2
Loamy,5.91,18.5,29.0,64.5,212.7,2.53
